block,job_size,canonical_name,frequency,business_segments,job_segments,sources_count,so_that,context_when,fitbase_value,barriers,drivers,previous_solution_problems,lpr_quote,sources,all_variants,cluster_id,concept_tag
Коммуникации и маркетинг,Middle,"Управлять акциями, скидками и промокодами",2,"S1, S5",J3,2,"Повысить скорость реакции, не терять клиентов, контролировать коммуникацию и качество обслуживания.","Клиенты пишут в Instagram, WhatsApp, Telegram, ВК, нужно быстро и удобно отвечать.",Чат с интеграцией мессенджеров.,Сезонность (нужна тёплая погода для летнего бодиара),Знакомый блогер-актер согласился участвовать,"Нет единого окна коммуникации, заявки могут теряться.","«Хотим раздачу флаеров с промокодами промоутером, но не грустного мальчика, а веселого качка. В костюме Спайдермена, потом Хитмана.» (25:41) || —","Алексей Кочкин — зал без персонала (Екатеринбург, открытие); Ярослава — открытие студии пилатеса",Использовать промоутера-блогера в костюме для раздачи флаеров с промокодами | Обеспечить удобную коммуникацию с клиентами через разные каналы в одном окне,Ком-01,акции_скидки
Коммуникации и маркетинг,Small,Интегрировать все мессенджеры в одно окно (WhatsApp/TG/Max/VK/Instagram),2,"S1, S2","J2, J5",2,"Чтобы не терять историю общения, быстро реагировать на запросы и передавать информацию новым сотрудникам","«WhatsApp фактически не работает. Telegram работал корректно, там надо все это через бота, и если пишут в бота, то это только в 1С, а на аккаунт Телеграма не подгружается»","Интеграция всех каналов в одном окне, хранение переписок, возможность передачи прав тренерам",Возможные сложности с внедрением и обучением,"Fitbase-чат как зеркало личного Telegram (без бота), WhatsApp через свою интеграцию, MAX в PRO","Отсутствие единой системы, переписки разбросаны по разным мессенджерам","""Все переписки, они все хранятся в системе... если администратор уволился, то мы потом всю информацию по их перепискам можем собрать быстро"" (Мария)",Детская студия — дзюдо/тхэквондо (1С); Клуб — общий switch-кейс,Обеспечить коммуникацию с клиентами через мессенджеры | Получить рабочий канал WhatsApp + Telegram в одной CRM,Ком-03,коммуникация_мессенджеры
Коммуникации и маркетинг,Small,IP-телефония для работы с клиентами,2,S1,J1,2,Чтобы вести корректный учет и не путаться в клиентах,Когда приходит новый клиент из соцсетей или мессенджеров,Автоматическая проверка и создание заявок,Стоимость подключения,Автоматическая проверка по номеру телефона,Ручной поиск и проверка клиентов,"""Программа проверяет на дубль по номеру телефона клиента.""",АГРЕГИРОВАНО (без привязки к конкретному интервью); Танцевальная студия — Mobi-конкурент,Подключать IP-телефонию | Проверять заявки на дубли по номеру телефона,Ком-06,ip_телефония
Коммуникации и маркетинг,Middle,Делать массовые рассылки и автоматические уведомления клиентам,2,S5,J1,2,Чтобы повысить retention и LTV,"«У администраторов даже орфографию не соблюдают, когда общаются с клиентами»","SMS, WhatsApp, push",Лимиты рассылок,40 автоматизаций (стандарт) / без ограничений (PRO) + Fitbase-чат как зеркало WhatsApp/Telegram/ВК/Max,"Ручные рассылки, WhatsApp copy-paste",,АГРЕГИРОВАНО (без привязки к конкретному интервью); Анастасия (Завьялово) — микро-студия без админов,"Автоматизация всей коммуникации (рассылки, напоминания, поздравления) | Удерживать клиентов через коммуникации и рассылки",Ком-08,рассылки_коммуникац
Коммуникации и маркетинг,Middle,Видеть кто «засыпает» и возвращать до отмены (удержание),1,S1,J1,1,"Снизить нагрузку на менеджеров, повысить вовлеченность клиентов и удержание","Нужно было быстро и удобно оповещать клиентов о событиях, акциях, окончании абонементов, но предыдущие решения не давали гибкости","Автоматизация до 40 действий, сегментированные рассылки, интеграция с мессенджерами через Feedbase Chat","Страх блокировки номеров, необходимость правильной настройки рассылок","Автоматизация, сегментация, интеграция с мессенджерами, возможность настройки времени и частоты рассылок","В 1С Фитнес и других системах рассылки были неудобны, медленные, дорогие (WhatsApp), блокировки","""Можно настроить, что сразу практически отправлял 7 сообщений... Можно настроить, чтобы не заблокировали... Можно сегментировать клиентов.""",Оксана — две детских студии (AppEvent),Автоматизировать коммуникации с клиентами через разные каналы,Ком-02,удержание_отток
Коммуникации и маркетинг,Middle,Лидогенерация и воронка продаж (заявки → клиент),1,S1,J1,1,,"Когда веду продажи и обработку заявок, хочу видеть, сколько заявок на каком этапе, причины отказов и конверсию","Автоматизированная воронка с возможностью строить несколько сценариев, отслеживать тайминг обработки заявок",Нет,"Автоматизация, аналитика, интеграция с разными источниками заявок","У конкурентов (Моби Фитнес) воронка менее автоматизирована, нет интеграции с AMSRM","""У них нет, наверное, воронки продаж, это, наверное, основное. Она у них есть, но она не очень автоматизированная.""",Lime Fitness — хореография,Анализировать эффективность продаж и работы с клиентами через воронку продаж,Ком-05,лиды_воронка
Коммуникации и маркетинг,Middle,"Локальный геомаркетинг (ЖК-чаты, штендеры, виндеры)",1,S5,J3,1,Чтобы достичь финмодели в октябре и доказать инвестору жизнеспособность модели,Когда я только открылся (52 подписки + 200 установок приложения за 2 недели) и нужно к октябрю выйти на 270 подписок + 30 разовых = 300 клиентов,CRM ведёт учёт всех каналов привлечения,,"Возможность отслеживать источники, привязка к мобильному приложению",Маркетинга по сути не вели (одно сообщение в чате ЖК),«Маркетинг не нужен. Нужно удачное место. И самый главный маркетинг — это вот чат из ЖК.» (18:50) | «У меня 5000+ квартир в пятиминутной ходьбе.» (4:00),"Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Привлечь 300 целевых клиентов к октябрю через локальный геомаркетинг,Ком-07,geo_маркетинг
Коммуникации и маркетинг,Middle,Снизить TCO стека и избавиться от доплат за каждую фичу,1,S2,J2,1,,"«У нас это в телефоне сейчас, и вот это выпускаем, бывает моментом» — теряет сообщения",,,"Fitbase-чат, 5 мессенджеров встроены, без доплат",,,Марина — самописная 1С,Все мессенджеры в одном окне без доплат,Ком-09,tco_доплат
Коммуникации и маркетинг,Small,"Избавиться от раздражающих уведомлений и ботов в системе, которые мешают работе",1,S3,J4,1,"Чтобы работать спокойно, не отвлекаться и не тратить время на фильтрацию сообщений","Когда получаю много уведомлений от бота техподдержки, которые мешают видеть реальные сообщения","Улучшение UX, уменьшение количества ненужных уведомлений","""У меня миллиард сообщений от бота, это раздражает"" 1:03:00",Необходимость изменения логики уведомлений и работы бота,"Бот техподдержки постоянно пишет, мешает видеть реальные сообщения, раздражает",,"Дмитрий — сеть, JTBD-вариант","Избавиться от раздражающих уведомлений и ботов в системе, которые мешают работе",Ком-10,
Коммуникации и маркетинг,Small,Управлять коммуникацией с партнёрами и подрядчиками,1,S4,J4,1,Чтобы обеспечить слаженную работу сети,Когда нужно координировать работу и решать вопросы,"Координация, решение проблем",,,"Много коммуникаций, необходимость систематизации",,"Стас — Stretch House (франшиза, 65 студий)",Управлять коммуникацией с партнёрами и подрядчиками,Ком-11,
Коммуникации и маркетинг,Middle,Выбрать правильную локацию для зала без персонала,1,S5,J3,1,Чтобы окна сами рекламировали клуб + был органический трафик в первые недели,"Когда искал помещение под зал, ориентировался на густонаселённые ЖК с большой плотностью населения и небольшим количеством конкурентов рядом",—,,"Уникальное помещение как самореклама (видовые окна, первый этаж, неоновая вывеска через окна)",—,"«Окна, они уже сами рекламируют. К сожалению, у нас не самое проходное место — это уже крайний дом.» (20:24)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Выбрать правильную локацию для зала без персонала,Ком-12,
Коммуникации и маркетинг,Small,Кросс-маркетинг с соседним бизнесом ЖК,1,S5,J3,1,Чтобы охватить местных жителей через привычные им точки,"Когда вокруг много кафе, спа-салонов, парикмахерских, аптек и пунктов выдачи Wildberries",—,Пока не определились с форматом,Готовы партнёры в списке,—,"«У нас уже список по кросс-маркетингу довольно широкий. Хотим сначала весь геомаркетинг использовать, и дальше идти в кросс-маркетинг.» (21:41)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Кросс-маркетинг с соседним бизнесом ЖК,Ком-13,
Аналитика и управление,Small,Стратегическое планирование и целеполагание ЛПР,1,S4,J4,1,Чтобы эффективно достигать результатов,Когда нужно определить приоритеты и задачи на месяц,"Фокус, эффективность",,,Требует времени и концентрации,,"Стас — Stretch House (франшиза, 65 студий)",Проводить стратегическое планирование и целеполагание,Ана-01,стратегия
Аналитика и управление,Small,BI-аналитика и дашборды по бизнесу,1,S2,J2,1,Чтобы быстро получать аналитику и принимать управленческие решения,"Когда отчёты ведутся управляющим вручную, без автоматизации","Более 40 видов отчётов, автоматизация, аналитика","Неинтересно для тренера, больше для управляющего","Автоматизация отчётов, доступ к аналитике в системе","Ручное ведение отчётов, ограниченный доступ к данным","""Управляющие занимаются... финансовые моменты он там смотрит... я думаю, это вам в вашей роли неинтересно"" (Мария)",Клуб — общий switch-кейс,Вести отчётность по посещаемости и продажам,Ана-02,аналитика_бизнеса
Аналитика и управление,Small,Контролировать выручку и продажи в реальном времени,1,S6,J4,1,,,,,,,"«Мы создаём кастомную историю. Вы ему заказываете всё, что хотите, как угодно» (31:07)",Денис — падл-клуб (старт),"Получать управленческие отчёты по загрузке кортов, выручке, тренерам",Ана-03,выручка_контроль
СКУД и доступ,Small,Масштабироваться (открывать новые точки / стать сетью),2,S5,"J1, J3",2,Чтобы снизить затраты и упростить управление доступом,"Когда планирую новый зал и не хочу платить 170 тыс. ₽ за контроллер Сигур, как у конкурентов","Интеграция с домофоном, управление доступом через мобильное приложение","Технические риски нового решения, не везде применимо","Новое решение дешевле (12 тыс. руб.), удобнее, управление через приложение","Сигур дорогой, сложная интеграция, статические QR-коды","«Я планирую запуск еще одного зала, и там я попробую не с Сигуром поработать, а с кем-то другим.» (2:38) || См. аналогичный кейс Speaker A.","Speaker A — зал без персонала (расширенный, 8 джобов); Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Минимизировать стоимость СКУД при масштабировании | Обеспечить масштабирование бизнеса с новым залом и альтернативными решениями контроля доступа,СКУ-01,масштабирование
СКУД и доступ,Small,Управлять ролями и доступом сотрудников в системе,1,S5,J1,1,Чтобы сохранить имущество и избежать убытков,Когда я управляю залом и хочу минимизировать случаи воровства и несанкционированного прохода,"Интеграция с видеонаблюдением, контроль доступа через Сигур","Нет явных барьеров, система устраивает","Видеонаблюдение, дежурные тренеры, система контроля доступа","Были случаи несанкционированного прохода, но серьезных проблем не было",«Случаев воровства не было ни одного... Контролирую видеонаблюдением и дежурными тренерами.» (9:21),"Speaker A — зал без персонала (расширенный, 8 джобов)",Обеспечить безопасность и контроль доступа в зал,СКУ-02,роли_доступ
СКУД и доступ,Middle,Управлять и контролировать администраторов на ресепшене,1,S5,J1,1,,"Анастасия живёт в городе, а зал в селе. Управляющий «живёт рядышком», но не на постоянке.",,,FitBase Click (планшет) + интеграция с домофоном через китайское оборудование 50-60к,,,Анастасия (Завьялово) — микро-студия без админов,Убрать ресепшен полностью — клиент входит сам через домофон/планшет,СКУ-03,адмы
СКУД и доступ,Middle,Обеспечить автоматический вход клиентов в зал по QR-коду,1,S5,J1,1,Чтобы не тратить время на ручной ввод и не создавать неудобств клиентам при входе,"Когда я запускаю зал и хочу, чтобы клиенты проходили без моего вмешательства, используя QR-коды",Автоматическая интеграция QR-кодов с системой контроля доступа,"Текущая система Сигур не поддерживает нужный формат QR-кодов, что мешает автоматизации","Возможность автоматической интеграции с системой контроля доступа, поддержка динамических QR-кодов","Сигур не поддерживает динамические QR-коды, приходится использовать статические и вводить данные вручную","«У меня появился новый клиент, я зашел в скут, завел данные, ввел вручную код и открыл доступ на определенный срок... Моя мечта, чтобы работало так, чтобы это было все автоматически.» (1:48)","Speaker A — зал без персонала (расширенный, 8 джобов)",Обеспечить автоматический вход клиентов в зал по QR-коду,СКУ-04,
СКУД и доступ,Middle,Контролировать одновременные входы,1,S2,J2,1,,,,,,,,Евгений — клуб корпоративный (1С КОРП),Контролировать одновременные входы,СКУ-05,
СКУД и доступ,Small,"Запрет передачи QR-кода (динамический, обновляется раз в 2 секунды) — критично для безопасности",1,S2,J2,1,,,,,,,,Евгений — клуб корпоративный (1С КОРП),"Запрет передачи QR-кода (динамический, обновляется раз в 2 секунды) — критично для безопасности",СКУ-06,
Операционка / не быть узким местом,Big,Масштабироваться (открывать новые точки / стать сетью),5,"S1, S3, S4, S5","J1, J3, J4",5,"Чтобы создать референс на который смотрят остальные, занять регион полностью, заработать на масштабе, реализовать договор на 15 лет","Когда я с 15-летним опытом в фитнесе решаю стать фаундером и выбираю формат с высокой маржинальностью и низкой точкой входа, понимая что полная автоматизация — иллюзия и эмоциональное вовлечение всё равно потребуется",Полноценная CRM + мобильное приложение для автономной работы клуба (зашита в стоимость ремонта 10.5 млн),"Высокая стоимость оборудования (Сигур), технические сложности интеграции, необходимость менять оборудование при масштабировании","Удобство мобильного приложения, минимальное количество кликов, интеграция с оборудованием, поддержка и доработка системы","Ручной ввод клиентов в систему контроля доступа, отсутствие автоматической интеграции между CRM и Сигур, что вызывает задержки и проблемы с доступом клиентов","«Стать сетью номер один по рекурренту в Санкт-Петербурге. 50-60 клубов в Питере, дальше посмотрим.» (47:02) | «Pickleball — первыми в России.»  (65:08) || «Мы здесь, а не потому, что мы хотим, чтобы оно само работало. Мы готовы вкладываться и эмоциями, и силами, и времени, чтобы все нюансы учесть.» (1:49) || «Моя задача – это синтегрировать нового клиента, дать ему доступ в зал. И чтобы у него не было проблем.» (5:49)","Speaker A — зал без персонала (расширенный, 8 джобов); Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб); Алексей Кочкин — зал без персонала (Екатеринбург, открытие); Стас — Stretch House (франшиза, 65 студий); Танцевальная студия — Mobi-конкурент","Делегировать задачи и строить команду | Запустить и развить автоматизированный фитнес-клуб с высокой маржинальностью при минимальном личном вовлечении в операционку | Построить сеть фитнес-клубов нового поколения, которая определит рынок СПб по рекурренту | Управлять всем бизнесом танцевальной школы | Управлять фитнес-клубом эффективно и автономно",Опе-02,масштабирование
Операционка / не быть узким местом,Big,Контролировать выручку и продажи в реальном времени,2,"S1, S4","J2, J4",2,"Чтобы бизнес пережил меня, занимал лидирующие позиции в городах, приносил стабильный доход и имел сильный бренд","Когда я управляю бизнесом с 65 студиями и 26 партнёрами, в условиях рынка с высокой конкуренцией и необходимостью баланса между ростом и качеством","Долгосрочная устойчивость, лидерство на рынке, счастье партнеров и сотрудников",,,Недостаток управленческих навыков для одновременного ведения филиальной сети и франчайзинга; необходимость выбора стратегии; риск потери качества при масштабировании,,"Каталина Алексеева — пилатес/реабилитация, Гатчина (эталон AJTBD); Стас — Stretch House (франшиза, 65 студий)","Построить устойчивую, масштабируемую и прибыльную франчайзинговую фитнес-компанию Stretch House | Управлять студией как системным бизнесом, а не как «ремесленник», чтобы получать доход без личного участия в операционке и тренировках",Опе-01,выручка_контроль
Операционка / не быть узким местом,Big,Запустить студию/клуб с нуля с готовыми процессами,1,,,1,Чтобы избежать хаоса и стартовать эффективно,Когда студия только открывается,Полный набор CRM-инструментов с Day 1,Стоимость старта,Fitbase «под ключ»,"Ручные процессы, Google-таблицы",,АГРЕГИРОВАНО (без привязки к конкретному интервью),Запустить студию «с нуля» с готовыми процессами,Опе-03,запуск_бизнеса
Операционка / не быть узким местом,Small,Найти инвестиции и партнёра для следующего зала,1,S5,J3,1,Чтобы вырасти в сеть и не выходить на рынок инвесторов с нуля,"Когда достигну финмодели (300 клиентов в октябре), планирую запуск второго объекта",—,Не у всех бизнесов есть готовый инвестор,Инвестор уже здесь и готов при достижении KPI,—,"«Если сделаем целевые показатели в октябре 300 клиентов, то будем искать ещё одно место. Инвестор готов, но если покажем финрез.» (17:55)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)",Найти инвестиции и партнёра для следующего зала,Опе-04,
Операционка / не быть узким местом,Big,Автоматизация доступа клиентов в зал,1,S5,J1,1,Клиенты могли входить без задержек и проблем,При входе клиентов в зал,,,,,"Моя мечта, чтобы работало так, чтобы это было все автоматически.",Speaker A — зал без персонала,Автоматизация доступа клиентов в зал,Опе-05,
Операционка / не быть узким местом,Big,"Управлять студией так, чтобы процессы были централизованы, прозрачны и под контролем",1,,,1,"Чтобы снизить ручной труд, видеть всю картину и быть уверенным в контроле","Когда студия растёт, клиентов становится много, Excel и чаты создают хаос",Централизованное управление в одном окне (CRM + расписание + абонементы + финансы),"Цена, миграция базы","Поиск CRM, рекомендации коллег","Excel, тетрадки, разрозненные чаты",,АГРЕГИРОВАНО (без привязки к конкретному интервью),"Управлять студией так, чтобы процессы были централизованы, прозрачны и под контролем",Опе-06,
Операционка / не быть узким местом,Middle,Автоматизация через триггеры,1,S1,J5,1,,в 1С триггеров было «сколько угодно и под любые задачи»,,,,,,Детская студия — дзюдо/тхэквондо (1С),Автоматизация через триггеры,Опе-07,
Запуск и переход,Middle,Масштабироваться (открывать новые точки / стать сетью),1,S4,J4,1,"Чтобы сеть масштабировалась органично, партнёры были счастливы и бизнес устойчив",Когда партнёры запускают студии и развивают бизнес,"Успешный запуск и развитие студий, обмен опытом, поддержка",,,"Разный уровень партнёров, необходимость индивидуального подхода, ограниченные управленческие ресурсы",,"Стас — Stretch House (франшиза, 65 студий)",Поддерживать и развивать партнёрские отношения с франчайзи,Зап-01,масштабирование
Запуск и переход,Small,Перенести базу клиентов без потерь при переходе на новую систему,1,S2,J2,1,,,,,,,,Евгений — клуб корпоративный (1С КОРП),Бесплатный перенос базы из 1С — драйвер,Зап-02,перенос_базы
Запуск и переход,Middle,Управлять продажами франшиз и отбором партнёров,1,S4,J4,1,"Чтобы привлечь качественных партнёров, минимизировать риски и обеспечить рост сети",Когда поступают заявки на франшизу и нужно выбрать подходящих партнёров,"Качественный подбор партнёров, рост сети, снижение рисков",,,"Отсутствие маркетингового бюджета, зависимость от личных связей, необходимость личного участия в каждом собеседовании",,"Стас — Stretch House (франшиза, 65 студий)",Управлять продажами франшиз и отбором партнёров,Зап-03,
Запуск и переход,Middle,Управлять маркетингом и операционными процессами,1,S4,J4,1,"Чтобы обеспечить стабильный приток клиентов и партнёров, а также эффективную работу команды",Когда нужно продвигать студии и оптимизировать внутренние процессы,"Рост продаж, оптимизация процессов",,,"Ограниченные ресурсы, необходимость делегирования, сложность масштабирования",,"Стас — Stretch House (франшиза, 65 студий)",Управлять маркетингом и операционными процессами,Зап-04,
Запуск и переход,Small,Вести личные собеседования с потенциальными партнёрами,1,S4,J4,1,Чтобы отбирать только подходящих партнёров,Когда поступают заявки на франшизу,"Качество партнёров, снижение рисков",,,"Высокая нагрузка, невозможность делегирования",,"Стас — Stretch House (франшиза, 65 студий)",Вести личные собеседования с потенциальными партнёрами,Зап-05,
Запуск и переход,Middle,Тестировать и запускать новые форматы клубов (NEO,1,S3,J4,1,сквош),pickleball,"Хочу запускать 3 новых формата помимо NEO, проверять разные ЦА (рекуррент молодёжи vs термальный комплекс с разовым потреблением)",Fitbase должен поддерживать разные продукты в одной CRM,"Стратегически важно, но риск размытия позиционирования","Чтобы расширить продуктовую линейку, занять новые ниши и сохранить экспансию",—,"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Тестировать и запускать новые форматы клубов (NEO,Зап-06,
Клиентский опыт и приложение,Middle,Видеть кто «засыпает» и возвращать до отмены (удержание),1,S3,J4,1,"Чтобы дети не получили травм и приходили регулярно (не уйти в отток), а социализация удерживала их как аудиторию","Когда генеральный директор сказал — пусть подростки идут к нам в зал, а не во дворе. Они до 35 = 70% базы, 14-18 = 10%. Молодые приходят, но поведение хаотичное — много оборудования, не знают что делать",МПК Fitbase с социальными фичами (в обсуждении с командой Fitbase),Скорость доработки фичей,Готовность Fitbase развивать функционал под их запросы,"В текущем МПК нет достаточно социальных фичей, чатов между клиентами, геймификации","«Им важна геймификация, интерактивность, социализация. Мы часто обсуждаем чтобы Fitbase добавлял в приложение побольше плюшек особенно социальных где могут пообщаться или познакомиться.» (38:46) | «Школьники, студенты — для них тренировка это не только результат, это и поговорить, словить общий вайбик.» (36:45)","Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Удерживать молодую аудиторию (10% — это 14-18 летние) через социализацию и онбординг,Кли-01,удержание_отток
Клиентский опыт и приложение,Small,Делать массовые рассылки и автоматические уведомления клиентам,1,S1,J1,1,,"Когда клиент долго не посещает занятия или наступает день рождения, хочу автоматические уведомления","Автоматизация уведомлений по триггерам (день рождения, продажи, посещения)",Нет,"Триггеры, автоматические уведомления",Ручная работа администраторов занимает много времени,"""Система может автоматически отправить пуш в приложение клиенту, а может... отправить задачу администратору.""",Lime Fitness — хореография,Получать уведомления и напоминания о важных событиях и клиентах,Кли-02,рассылки_коммуникац
Клиентский опыт и приложение,Small,"Социальные функции в МПК (чат, геймификация, знакомства)",1,S1,J1,1,,,,,,,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),"Bonus / геймификация (Leaderboard) — упомянуто, но не приоритет",Кли-03,приложение_соц
Клиентский опыт и приложение,Middle,BI-аналитика и дашборды по бизнесу,1,S1,J5,1,,"«У 1С есть приложение управляющего, но там очень ограниченный функционал»",,,BI Dashboard от Яндекса в PRO — 30 метрик по уникальной ссылке для управляющего,,,Детская студия — дзюдо/тхэквондо (1С),Мобайл управляющего с финансовой аналитикой,Кли-04,аналитика_бизнеса
Клиентский опыт и приложение,Middle,Программа лояльности с бонусами и «приведи друга»,1,S5,J1,1,,"Хочет «Лидерборд» (Топаз, Рубин, Сапфир, Бриллиант), как у Urban Fit",,,Брендированное приложение с лигами + рулетка + промокод,,,Анастасия (Завьялово) — микро-студия без админов,Программа лояльности через мобильное приложение,Кли-05,программа_лояльности
Клиентский опыт и приложение,Small,Интегрировать все мессенджеры в одно окно (WhatsApp/TG/Max/VK/Instagram),1,S5,J1,1,,,,,,,,Анастасия (Завьялово) — микро-студия без админов,"Сторис в приложении (без VPN, быстрее чем Instagram)",Кли-06,коммуникация_мессенджеры
Клиентский опыт и приложение,Middle,IP-телефония для работы с клиентами,1,S2,J2,1,,"«Перекопали кабель, повредили, у нас там два дня интернета не было». В здании только один провайдер (МТС).",,,"Облако, доступ с любого устройства; адаптивная мобильная версия",,,Марина — самописная 1С,"Облачная программа, которая работает через телефон при отключении провайдера",Кли-07,ip_телефония
Клиентский опыт и приложение,Small,Упростить и ускорить работу с мобильным приложением для тренеров и руководителей,1,S3,J4,1,"Чтобы работать эффективно в любом месте, экономить время и не зависеть от компьютера","Когда часто приходится работать с телефона, а веб-версия неудобна, возникают проблемы с интерфейсом и функционалом","Переработка мобильного приложения, улучшение UX, адаптация под мобильные устройства","""Иногда окно не уезжает дальше, не могу отменить, приходится идти к компьютеру"" 1:19:18","Необходимость доработки мобильного приложения, устранение багов","В текущем приложении есть баги, неудобства, приходится переключаться на веб-версию",,"Дмитрий — сеть, JTBD-вариант",Упростить и ускорить работу с мобильным приложением для тренеров и руководителей,Кли-08,
Клиентский опыт и приложение,Small,Развивать чат и социальные функции внутри МПК (через Fitbase),1,S3,J4,1,Чтобы клиенты могли общаться между собой через приложение и оставались дольше,Когда 70% клиентов до 35 лет требуют социализации в цифровом пространстве. Законодательство РФ требует кириллицу — нельзя назвать тариф 'общий вайбик',Будущая ценность Fitbase — социальные фичи МПК (в разработке/обсуждении),Скорость разработки фичей,Активный диалог с командой Fitbase,Текущий МПК не имеет достаточно социальных функций для молодой аудитории,«Мы часто обсуждаем как раз таки чтобы Fitbase добавлял в приложение побольше плюшек особенно социальных.» (38:18),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Развивать чат и социальные функции внутри МПК (через Fitbase),Кли-09,
Клиентский опыт и приложение,Small,Упростить работу тренеров с расписанием и задачами,1,S2,J2,1,Чтобы тренеры могли лучше планировать работу и контролировать клиентов,"Когда тренеры работают в хаотичном режиме, без чёткого расписания и задачника",Мобильное приложение для тренеров с расписанием и задачником,Не все тренеры готовы к цифровизации,"Мобильное приложение с расписанием, задачником, возможностью записи клиентов","Отсутствие чёткого расписания, хаотичность, ручной учёт","""Тренер может поставить себе задачи, видеть расписание, фиксировать посещаемость"" (Мария)",Клуб — общий switch-кейс,Упростить работу тренеров с расписанием и задачами,Кли-10,
Клиентский опыт и приложение,Small,Брендировать приложение под студию,1,,,1,Чтобы укреплять бренд,Когда хочется персонализации,White-label приложение,Стоимость кастомизации,Имидж,Нет своего приложения,,АГРЕГИРОВАНО (без привязки к конкретному интервью),Брендировать приложение под студию,Кли-11,
Клиентский опыт и приложение,Small,Настраивать мобильное приложение под бренд клуба,1,S6,J4,1,,,,,,,"«В мобильном приложении вы делаете всё, что хотите: цвета меняете, интерфейс меняете, переставляете» (10:39)",Денис — падл-клуб (старт),Настраивать мобильное приложение под бренд клуба,Кли-12,
Клиентский опыт и приложение,Middle,Брендированное мобильное приложение под свою новую марку,1,S1,J1,1,,"выходит из франшизы, нужен новый бренд + приложение в сторах",,"регистрация Apple ID с её юр.лицом (выход из франшизы → возможны нюансы), товарный знак не оформлен","Fitbase делает за 2-3 недели, бесплатно при Standard/PRO, помогает с регистрацией в сторах","приложение Mobifitness было на их аккаунтах, при отвязке надо переделывать",,Анастасия (Пермь) — выход из франшизы (1С+Mobi),Брендированное мобильное приложение под свою новую марку,Кли-13,
Клиентский опыт и приложение,Small,Электронное подписание прямо в мобильном приложении — Fitbase обещает «в этом году»,1,S1,J1,1,,,,,,,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),Электронное подписание прямо в мобильном приложении — Fitbase обещает «в этом году»,Кли-14,
Клиентский опыт и приложение,Small,"Виджет онлайн-расписания на сайт (для тех, кто не качает приложение) — клиент впечатлён",1,S5,J1,1,,,,,,,,Анастасия (Завьялово) — микро-студия без админов,"Виджет онлайн-расписания на сайт (для тех, кто не качает приложение) — клиент впечатлён",Кли-15,
Интеграции и техническое,Big,Управлять и контролировать администраторов на ресепшене,2,"S1, S5",J1,2,"Обеспечить комфортную работу для себя и администраторов, снизить стресс от внедрения новой системы","Руководитель студии танцев, с опытом работы в CRM (Bitrix, 1С Фитнес), но с негативным опытом в 1С Фитнес, где интерфейс сложный и неинтуитивный, поддержка медленная, администраторы боятся системы","Интуитивный интерфейс, двухуровневая поддержка, персональный менеджер, автоматизация, мобильное приложение","Неуверенность в переносе данных, необходимость тестирования, отсутствие администраторов сейчас, возможные сложности с интеграцией","Интуитивный интерфейс, двухуровневая поддержка, персональный менеджер, мобильное приложение, автоматизация, интеграция с мессенджерами, возможность тестирования","1С Фитнес: ""прям напугал сложный интерфейс"", ""неинтуитивный"", ""много времени потратила на изучение"", ""вопросы появлялись, поддержка не всегда своевременная"", ""обратная связь затяжная"", ""администраторы боялись CRM"", ""сложно понять схему работы""","""Пробывали работать с 1С фитнес. Честно, прям напугал сложный интерфейс... Я, как руководитель, очень много времени потратила на то, чтобы сама изучить этот вопрос... И в итоге я так до конца и не смогла на 100%, даже хотя бы на 80% понять схему работы."" || Проблема с интеграцией по входу в зал для людей осталась в подвешенном состоянии.",Speaker A — зал без персонала; Оксана — две детских студии (AppEvent),"Интеграция CRM и системы доступа | Получить готовую, простую и интуитивно понятную CRM-систему для управления студией танцев",Инт-01,адмы
Интеграции и техническое,Middle,Интегрировать все мессенджеры в одно окно (WhatsApp/TG/Max/VK/Instagram),2,S1,J1,1,,раньше всё было «по франшизе» в чужой 1С + чужом Mobifitness. Теперь надо своё.,,"надо самой регистрироваться в Apple/Google, $100/год за Apple + $25 единоразово за Google","всё в одном тарифе (Standard или PRO), бесплатный перенос базы из 1С",мобайл на чужих аккаунтах Apple/Google → теряет данные при отвязке,,Анастасия (Пермь) — выход из франшизы (1С+Mobi),Получить интеграции с мессенджерами без отдельной оплаты | Получить полный пакет учёта + мобайла + мессенджеров в одной системе,Инт-02,коммуникация_мессенджеры
