job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,duplicate_group,is_canonical,id
Middle,S1,J1,Вести коммуникацию с клиентами из разных каналов в одном окне,"Когда клиенты пишут в WhatsApp, Telegram, ВКонтакте, Instagram",Получить единое окно для переписки и ведения заявок,Чтобы не разрываться между разными мессенджерами и соцсетями,Очень важно для удобства и скорости работы с клиентами,,,Интеграция мессенджеров и соцсетей в CRM,"Ручное переключение между приложениями, потеря заявок","Интеграция WhatsApp, Telegram, Instagram, ВКонтакте","Необходимость бизнес-аккаунтов, настройка","""То есть неважно, откуда клиент пишет и звонит, он к нам приходит сюда.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J154
Small,S1,J1,Проверять заявки на дубли по номеру телефона,Когда приходит новый клиент из соцсетей или мессенджеров,Исключить дублирование клиентов в базе,Чтобы вести корректный учет и не путаться в клиентах,Важно для чистоты базы и эффективности работы,,,Автоматическая проверка и создание заявок,Ручной поиск и проверка клиентов,Автоматическая проверка по номеру телефона,Не выявлено,"""Программа проверяет на дубль по номеру телефона клиента.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J155
Small,S1,J1,Управлять абонементами и услугами клиентов,Когда продаю абонементы и услуги,"Вести учет проданных абонементов, остатка занятий, заморозок",Чтобы контролировать доступ клиентов и корректно списывать занятия,Важно для финансового учета и контроля доступа,,,"Учет абонементов, заморозок, перерасчетов по болезни","Ручной учет, отсутствие автоматизации","Возможность заморозки, загрузка документов","""Если клиент болел, он может принести справку, мы ее подгружаем в карточку.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J156
Small,S1,J1,"Хранить документы клиентов (справки, заявления)",Когда клиент приносит документы,"Хранить документы в системе, чтобы не терять и быстро находить",Чтобы не плодить бумажные документы и иметь быстрый доступ,Важно для организации и контроля,,,Возможность прикреплять документы к карточке клиента,"Бумажные документы, потеря информации",Загрузка фото документов в карточку клиента,"""Мы можем хранить заявление, справку от врача, свидетельство о рождении.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J157
Small,S1,J1,Отслеживать отсутствие справок у клиентов,"Когда нужно проверить, кто принес справку, а кто нет",Фильтровать клиентов по наличию документов,Чтобы быстро напомнить и получить недостающие документы,Важно для безопасности и соответствия требованиям,,,Использование хэштегов и фильтров,"Нет автоматизации, ручной поиск",Настройка тегов и фильтров,"""Можно хэштег настроить 'нет справки' и отфильтроваться.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J158
Small,S1,J1,Отправлять клиентам уведомления и напоминания,"Когда нужно напомнить о занятиях, окончании абонемента, акциях","Автоматически отправлять уведомления через WhatsApp, push, SMS",Чтобы снизить нагрузку на администраторов и повысить вовлеченность клиентов,Важно для удержания клиентов и повышения продаж,,,Автоматические триггерные рассылки,Ручные звонки и сообщения,"Более 30 триггерных событий, бесплатные рассылки","""Поздравления с днем рождения, напоминания о занятиях, акциях.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J159
Small,S1,J1,Управлять оплатами и задолженностями клиентов,Когда клиент не оплатил вовремя,Отслеживать задолженности и напоминать клиентам,Чтобы поддерживать финансовую дисциплину,Важно для стабильности дохода,,,"Отчеты по задолженностям, фильтры","Ручной учет, потеря платежей",Отчеты и фильтры в системе,"""Можно поставить фильтр 'непродленные' и работать с ними.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J160
Small,S1,J1,Настраивать расчет зарплаты тренерам,Когда нужно начислять зарплату за занятия,Настроить фиксированную ставку или оплату за клиента,Чтобы правильно и прозрачно платить тренерам,Важно для мотивации и учета затрат,,,Гибкие правила расчета зарплаты,"Ручной расчет, ошибки",Настройка правил для каждого сотрудника,"""Фиксированная ставка за занятие или процент от клиентов.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J161
Small,S1,J1,Управлять мобильным приложением для клиентов,"Когда клиенты хотят видеть расписание, новости, записи","Предоставить удобный доступ к расписанию, новостям, покупкам",Чтобы повысить лояльность и удобство клиентов,Важно для удержания и вовлечения клиентов,,,Брендированное приложение с push-уведомлениями,Нет мобильного приложения,Разработка и публикация приложения за 14 дней,"""Клиент скачивает приложение, видит новости, расписание, может записываться.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J162
Small,S1,J1,Управлять родительским доступом для детских клиентов,Когда дети посещают занятия,Связать детей с родителями для контроля абонементов и уведомлений,Чтобы родители могли управлять абонементами и получать уведомления,Важно для детских групп и коммуникации с родителями,,,Родительский доступ в мобильном приложении,Нет такой связки,Создание родительских аккаунтов и связок,"""Дети без родителей не существуют в программе.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,,1,J163
Big,S5,J1,Автоматизация доступа клиентов в зал,При входе клиентов в зал,Чтобы доступ в зал был автоматизирован,Клиенты могли входить без задержек и проблем,Критически важно для удобства клиентов,,,,,,,"Моя мечта, чтобы работало так, чтобы это было все автоматически.",Speaker A — зал без персонала,"Сегмент (авто): unmanned | Кратко о бизнесе: Фитнес-клуб без персонала, работающий на основе мобильного приложения и автоматизированной системы доступа.","Управляющий клубом, который стремится минимизировать взаимодействие с клиентами и автоматизировать процессы.",,,1,J164
Middle,S5,J1,Интеграция CRM и системы доступа,При добавлении новых клиентов в систему,Чтобы интеграция работала без ручного ввода данных,Сократить время на администрирование и избежать ошибок,"Высокая, так как это влияет на клиентский опыт",,,Разработка более удобной интеграции с CRM,Приходится вручную заводить в систему новых клиентов,Автоматизация процессов,Отсутствие поддержки интеграции в текущей системе,Проблема с интеграцией по входу в зал для людей осталась в подвешенном состоянии.,Speaker A — зал без персонала,"Сегмент (авто): unmanned | Кратко о бизнесе: Фитнес-клуб без персонала, работающий на основе мобильного приложения и автоматизированной системы доступа.","Управляющий клубом, который стремится минимизировать взаимодействие с клиентами и автоматизировать процессы.",,,1,J165
Middle,S5,J1,Управление клиентским потоком,"В часы пик, когда много клиентов",Чтобы клиенты бронировали время для посещения зала,Избежать перегрузки и обеспечить комфорт,"Средняя, для поддержания качества обслуживания",,,Введение обязательного бронирования в часы пик,Бывают дни с большим количеством клиентов,Рекомендации по бронированию,Некоторые клиенты не бронируют время,Я прошу клиентов бронировать время для посещения зала.,Speaker A — зал без персонала,"Сегмент (авто): unmanned | Кратко о бизнесе: Фитнес-клуб без персонала, работающий на основе мобильного приложения и автоматизированной системы доступа.","Управляющий клубом, который стремится минимизировать взаимодействие с клиентами и автоматизировать процессы.",,,1,J166
Small,S5,J1,Обработка возвратов,Когда клиенты хотят вернуть деньги за абонемент,Чтобы процесс возврата был простым и быстрым,Клиенты были довольны и не уходили недовольными,"Средняя, для поддержания репутации",,,Улучшение информирования клиентов о подписках,Некоторые клиенты не понимают условия подписки,Прозрачность условий,Недостаток информации для клиентов,Я делаю возврат и все.,Speaker A — зал без персонала,"Сегмент (авто): unmanned | Кратко о бизнесе: Фитнес-клуб без персонала, работающий на основе мобильного приложения и автоматизированной системы доступа.","Управляющий клубом, который стремится минимизировать взаимодействие с клиентами и автоматизировать процессы.",,,1,J167
Small,S5,J1,Поддержка клиентов,Когда клиенты сталкиваются с проблемами доступа,Чтобы клиенты могли быстро получить помощь,Устранить задержки и недовольство,"Высокая, для обеспечения хорошего сервиса",,,Автоматизация поддержки через чат-бота,Клиенты иногда не могут войти в зал,Наличие связи через Telegram,Ограниченное время для реакции,"Я всегда на связи, Телеграм, Макс.",Speaker A — зал без персонала,"Сегмент (авто): unmanned | Кратко о бизнесе: Фитнес-клуб без персонала, работающий на основе мобильного приложения и автоматизированной системы доступа.","Управляющий клубом, который стремится минимизировать взаимодействие с клиентами и автоматизировать процессы.",,,1,J168
Big,,,"Управлять студией так, чтобы процессы были централизованы, прозрачны и под контролем","Когда студия растёт, клиентов становится много, Excel и чаты создают хаос",Получить единую систему управления,"Чтобы снизить ручной труд, видеть всю картину и быть уверенным в контроле",Очень важно,,,Централизованное управление в одном окне (CRM + расписание + абонементы + финансы),"Excel, тетрадки, разрозненные чаты","Поиск CRM, рекомендации коллег","Цена, миграция базы",,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х5 | УТП: Fitbase = CRM, расписание, касса и рассылки в одном окне. Вы управляете студией легко и чувствуете уверенность, что бизнес под контролем.",,1,J169
Big,,,Увеличивать прибыль и удерживать клиентов за счет автоматизации процессов,"Когда растёт база клиентов, но падает возвратность",Автоматизировать маркетинг и напоминания,Чтобы клиенты возвращались и тратили больше,Очень важно,,,"Автоматические рассылки, напоминания, бонусы","Ручные обзвоны, низкий повтор","Автоматизация, retention-маркетинг","Лимиты по рассылкам, страх спама",,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х4 | УТП: Fitbase = автоматические триггеры и бонусы. Клиенты сами возвращаются, а вы экономите часы ручной работы и видите рост прибыли.",,1,J170
Big,,,Сохранять удобство для клиентов и повышать их лояльность,Когда клиенты жалуются на неудобную запись или отсутствие приложения,Дать удобные инструменты записи и оплаты,Чтобы не терять клиентов и конкурировать,Очень важно,,,"Мобильное приложение, онлайн-запись","Ручная запись, звонки, Google-календари",Наличие приложения,Привычка клиентов к WhatsApp,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х3 | УТП: Fitbase = приложение и онлайн-запись 24/7. Клиенту удобно, а вы чувствуете гордость, что сервис студии на уровне лидеров.",,1,J171
Big,,,Нанимать и контролировать работу правильных сотрудников,Когда появляются админы и тренеры,Установить процессы и разграничить доступы,Чтобы не терять данные и снизить хаос,Важно,,,Роли и контроль,В Excel все всё видят,CRM с ролями,Непривычность сотрудников к CRM,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = роли и доступы. Данные защищены, каждый видит только своё. Вы спокойны за безопасность и уверены в команде.",,1,J172
Big,,,Контролировать финансы и продажи,Когда нужно планировать и расти,"Видеть выручку, задолженности, эффективность",Чтобы управлять ростом бизнеса,Важно,,,"BI-отчёты, финансы","Excel и ручные подсчёты, ошибки",Желание «видеть цифры»,Сложность аналитики,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х2 | УТП: Fitbase = дашборды и финансы в CRM. Вы видите план-факт и чувствуете контроль над выручкой и продажами.,,1,J173
Big,,,Запустить студию «с нуля» с готовыми процессами,Когда студия только открывается,Быстро встать на рельсы с системой,Чтобы избежать хаоса и стартовать эффективно,Очень важно,,,Полный набор CRM-инструментов с Day 1,"Ручные процессы, Google-таблицы",Fitbase «под ключ»,Стоимость старта,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = готовая CRM для открытия. Вы стартуете быстро, чувствуете уверенность и не теряете клиентов с первого дня.",,1,J174
Middle,,,Вести учёт клиентской базы (активные и архивные),Когда база растёт и клиентов много,"Иметь полную историю оплат, посещений и абонементов",Чтобы видеть актуальный статус клиента и работать с retention,Очень важно,,,"CRM-карточки, архив","Excel, дубли, потеря данных",Централизация,"Объем базы, перенос",,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х6 | УТП: Fitbase = вся история клиента в одном месте. Вы быстро находите данные и чувствуете порядок вместо хаоса.,,1,J175
Middle,,,Управлять расписанием занятий (групповые и индивидуальные),"Когда тренеры ведут параллельно группы, а клиенты часто путаются","Создавать, копировать, ограничивать запись",Чтобы загрузка тренеров была оптимальной и клиенты довольны,Очень важно,,,Расписание с копированием и листом ожидания,"Google-календари, ручные записи","Удобство, автоматизация",Инд. записи сложнее автоматизировать,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х5 | УТП: Fitbase = гибкое расписание и лист ожидания. Вы экономите часы труда и уверены, что тренеры и залы загружены правильно.",,1,J176
Middle,,,Контролировать продажи и выручку,Когда нужен прозрачный учёт доходов,"Видеть план-факт, задолженности, тренды",Чтобы управлять ростом и принимать решения,Высокая,,,BI-отчёты,"Excel, ошибки","Цифры, аналитика",Сложность в понимании метрик,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х4 | УТП: Fitbase = финансы и BI в одном месте. Вы чувствуете контроль над бизнесом и уверенность в планировании.,,1,J177
Middle,,,Удерживать клиентов через коммуникации и рассылки,"Когда нужно напомнить о записи, дне рождения, акции",Массовые и автоматические сообщения,Чтобы повысить retention и LTV,Высокая,,,"SMS, WhatsApp, push","Ручные рассылки, WhatsApp copy-paste","Автоматизация, CRM",Лимиты рассылок,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х4 | УТП: Fitbase = триггеры и рассылки. Клиенты возвращаются сами, а вы чувствуете, что retention работает «на автопилоте».",,1,J178
Middle,,,"Интегрировать каналы коммуникации (звонки, WhatsApp, соцсети)",Когда сообщения и звонки теряются,Все каналы в одном окне CRM,Чтобы ничего не терялось и клиенты были довольны,Очень важно,,,"Интеграции с WhatsApp, телефонией, чатами",Разрозненные мессенджеры,Централизация,Ограничения Telegram,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х3 | УТП: Fitbase = все чаты и звонки в CRM. Вы быстро отвечаете и чувствуете спокойствие, что коммуникации под контролем.",,1,J179
Middle,,,"Управлять бонусами, промокодами и сертификатами",Когда нужны маркетинговые инструменты для удержания,"Начислять баллы, выдавать промо и сертификаты",Чтобы стимулировать клиентов к покупкам,Средняя,,,Бонусная система,Нет автоматизации,"Маркетинг, продажи",Мало опыта использования,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = бонусы и промокоды. Вы легко запускаете акции и чувствуете, что клиенты становятся более лояльными.",,1,J180
Middle,,,Контролировать посещаемость и списания,Когда нужно учитывать реально проведённые занятия,Автоматически списывать по факту,Чтобы не было ошибок и спорных ситуаций,Высокая,,,"QR, отметка в приложении",Забывчивость админов,Прозрачность,Нужно оборудование,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х3 | УТП: Fitbase = учёт посещений через QR и приложение. Вы уверены в корректности списаний и чувствуете прозрачность мотивации тренеров.,,1,J181
Middle,,,Настраивать правила отмены занятий,Когда клиенты отменяют в последний момент,Гибко задать политику отмен,Чтобы не терять деньги и снижать конфликты,Средняя,,,Настройка политики отмен,Нет автоматизации,Баланс интересов,Сложность настройки,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,Частотность: х2 | УТП: Fitbase = гибкие отмены. Вы снижаете конфликты и чувствуете справедливость между клиентами и тренерами.,,1,J182
Middle,,,Управлять доступами и ролями сотрудников,Когда появляются тренеры и администраторы,"Разграничить, кто что видит",Чтобы защитить данные и упростить интерфейс,Средняя,,,Настройки ролей,Все видят всё в Excel,Защита данных,Нет гибкой кастомизации,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = роли и доступы. Вы спокойны, что данные защищены, и уверены, что каждый работает в своём поле.",,1,J183
Middle,,,Мотивировать тренеров через оплату по факту,Когда тренеры жалуются на отмены,Рассчитывать зарплату по реально проведённым занятиям,Чтобы справедливо оплачивать труд,Средняя-высокая,,,Расчёт по посещениям,Оплата по брони → обиды,Справедливость,Нужны правила внутри клуба,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х2 | УТП: Fitbase = зарплата по факту. Тренеры довольны, вы чувствуете справедливость и мотивацию в команде.",,1,J184
Small,,,Настраивать уведомления и триггеры,Когда клиенты забывают про запись или оплату,Автоматические напоминания,Чтобы снизить no-show и рутину админа,Высокая,,,"Триггеры, push, WhatsApp",Ручные сообщения,Автоматизация,Лимиты рассылок,,АГРЕГИРОВАНО (без привязки к конкретному интервью),,,"Частотность: х5 | УТП: Fitbase = триггеры и push. Система напоминает за вас, вы чувствуете облегчение и экономите часы рутины.",,1,J185
