job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,id
Big,S1,J1,Управлять всем бизнесом танцевальной школы,"Когда веду учет клиентов, оплат, расписания и коммуникаций, работаю с супругой и планируем расширять команду","Получить единую систему учета клиентов, оплат, расписания и коммуникаций","Чтобы автоматизировать процессы, снизить ручной труд, улучшить контроль и масштабировать бизнес","Очень важно, т.к. сейчас учет сложный, много ручной работы, много клиентов (101-300), есть необходимость в системном подходе",,,"Единая CRM с интеграцией мессенджеров, мобильное приложение, автоматизация оплаты и учета","Ручной учет в Excel, отсутствие интеграции, сложность отслеживания оплат и коммуникаций","Комплексное решение с CRM, мобильными приложениями, интеграцией соцсетей и мессенджеров, поддержка аккаунт-менеджера","Необходимость обучения, переход на новую систему, возможные сложности с интеграцией","""Мы работаем 8 лет, и вот пришло время усовершенствоваться.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J076
Middle,S1,J1,Вести учет клиентов и оплат,"Когда клиенты платят, а деньги приходят на карту или расчетный счет, и нужно сверять платежи",Иметь прозрачный учет оплат и задолженностей,"Чтобы быстро видеть, кто оплатил, кто нет, и не тратить время на сверку вручную",Критично для своевременного контроля платежей и финансовой дисциплины,,,Облачная касса и онлайн-оплата с автоматическим учетом платежей,"Нет автоматического учета, приходится сверять вручную, сложно понять, кто и за что платил","Подключение облачной кассы, онлайн-оплата, автоматизация отчетности","Стоимость подключения кассы, необходимость перехода на бизнес-аккаунты","""У меня там Excel считает внизу, сколько всего заплатили в этом классе. Потом это сводится по всей школе. Такая получается работа сложная.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J077
Middle,S1,J1,Управлять расписанием групп и посещениями,"Когда у меня есть группы с фиксированным расписанием на год, и нужно отмечать посещения","Автоматически вести расписание, отмечать посещения и списывать занятия с абонементов",Чтобы контролировать посещаемость и начислять зарплату тренерам,Важно для учета посещений и расчета зарплаты тренеров,,,"Возможность создавать расписание на год, отмечать посещения, списывать занятия","Ручной учет посещений, отсутствие автоматизации","Повторяющаяся запись, интеграция с оплатами и зарплатой тренеров","Необходимость обучения, настройка системы под особенности ансамбля","""У нас не личные уроки, а ансамбль... они все 20 человек так и будут ходить весь год целым классом.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J078
Small,S1,J1,Отмечать посещения клиентов на занятиях,"Когда тренер ведет занятия и отмечает, кто пришел",Получить точный учет посещений и списание занятий с абонемента,Чтобы правильно учитывать посещаемость и начислять зарплату тренерам,Важно для корректного учета и мотивации тренеров,,,Автоматическое списание посещений и расчет зарплаты,"Ручной учет, возможные ошибки",Возможность фиксированной ставки или оплаты за клиента,Не выявлено,"""Педагог перед занятием отметил деток, кто есть, и ему начислится зарплата.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J079
Middle,S1,J1,Вести коммуникацию с клиентами из разных каналов в одном окне,"Когда клиенты пишут в WhatsApp, Telegram, ВКонтакте, Instagram",Получить единое окно для переписки и ведения заявок,Чтобы не разрываться между разными мессенджерами и соцсетями,Очень важно для удобства и скорости работы с клиентами,,,Интеграция мессенджеров и соцсетей в CRM,"Ручное переключение между приложениями, потеря заявок","Интеграция WhatsApp, Telegram, Instagram, ВКонтакте","Необходимость бизнес-аккаунтов, настройка","""То есть неважно, откуда клиент пишет и звонит, он к нам приходит сюда.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J080
Small,S1,J1,Проверять заявки на дубли по номеру телефона,Когда приходит новый клиент из соцсетей или мессенджеров,Исключить дублирование клиентов в базе,Чтобы вести корректный учет и не путаться в клиентах,Важно для чистоты базы и эффективности работы,,,Автоматическая проверка и создание заявок,Ручной поиск и проверка клиентов,Автоматическая проверка по номеру телефона,Не выявлено,"""Программа проверяет на дубль по номеру телефона клиента.""",Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J081
Small,S1,J1,Управлять абонементами и услугами клиентов,Когда продаю абонементы и услуги,"Вести учет проданных абонементов, остатка занятий, заморозок",Чтобы контролировать доступ клиентов и корректно списывать занятия,Важно для финансового учета и контроля доступа,,,"Учет абонементов, заморозок, перерасчетов по болезни","Ручной учет, отсутствие автоматизации","Возможность заморозки, загрузка документов","""Если клиент болел, он может принести справку, мы ее подгружаем в карточку.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J082
Small,S1,J1,"Хранить документы клиентов (справки, заявления)",Когда клиент приносит документы,"Хранить документы в системе, чтобы не терять и быстро находить",Чтобы не плодить бумажные документы и иметь быстрый доступ,Важно для организации и контроля,,,Возможность прикреплять документы к карточке клиента,"Бумажные документы, потеря информации",Загрузка фото документов в карточку клиента,"""Мы можем хранить заявление, справку от врача, свидетельство о рождении.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J083
Small,S1,J1,Отслеживать отсутствие справок у клиентов,"Когда нужно проверить, кто принес справку, а кто нет",Фильтровать клиентов по наличию документов,Чтобы быстро напомнить и получить недостающие документы,Важно для безопасности и соответствия требованиям,,,Использование хэштегов и фильтров,"Нет автоматизации, ручной поиск",Настройка тегов и фильтров,"""Можно хэштег настроить 'нет справки' и отфильтроваться.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J084
Small,S1,J1,Отправлять клиентам уведомления и напоминания,"Когда нужно напомнить о занятиях, окончании абонемента, акциях","Автоматически отправлять уведомления через WhatsApp, push, SMS",Чтобы снизить нагрузку на администраторов и повысить вовлеченность клиентов,Важно для удержания клиентов и повышения продаж,,,Автоматические триггерные рассылки,Ручные звонки и сообщения,"Более 30 триггерных событий, бесплатные рассылки","""Поздравления с днем рождения, напоминания о занятиях, акциях.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J085
Small,S1,J1,Управлять оплатами и задолженностями клиентов,Когда клиент не оплатил вовремя,Отслеживать задолженности и напоминать клиентам,Чтобы поддерживать финансовую дисциплину,Важно для стабильности дохода,,,"Отчеты по задолженностям, фильтры","Ручной учет, потеря платежей",Отчеты и фильтры в системе,"""Можно поставить фильтр 'непродленные' и работать с ними.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J086
Small,S1,J1,Настраивать расчет зарплаты тренерам,Когда нужно начислять зарплату за занятия,Настроить фиксированную ставку или оплату за клиента,Чтобы правильно и прозрачно платить тренерам,Важно для мотивации и учета затрат,,,Гибкие правила расчета зарплаты,"Ручной расчет, ошибки",Настройка правил для каждого сотрудника,"""Фиксированная ставка за занятие или процент от клиентов.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J087
Small,S1,J1,Управлять мобильным приложением для клиентов,"Когда клиенты хотят видеть расписание, новости, записи","Предоставить удобный доступ к расписанию, новостям, покупкам",Чтобы повысить лояльность и удобство клиентов,Важно для удержания и вовлечения клиентов,,,Брендированное приложение с push-уведомлениями,Нет мобильного приложения,Разработка и публикация приложения за 14 дней,"""Клиент скачивает приложение, видит новости, расписание, может записываться.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J088
Small,S1,J1,Управлять родительским доступом для детских клиентов,Когда дети посещают занятия,Связать детей с родителями для контроля абонементов и уведомлений,Чтобы родители могли управлять абонементами и получать уведомления,Важно для детских групп и коммуникации с родителями,,,Родительский доступ в мобильном приложении,Нет такой связки,Создание родительских аккаунтов и связок,"""Дети без родителей не существуют в программе.""",,Танцевальная студия — Mobi-конкурент,"Бизнес: Танцевальная школа/студия с детскими и взрослыми группами, ансамбль, 9 классов, групповые занятия по расписанию, фиксированная оплата за период (4 недели), а также планируются персональные тренировки. | Особенности бизнеса: - Групповые занятия по расписанию (классы ходят целым составом весь год) <br> - Оплата раз в 4 недели <br> - Есть дети и взрослые <br> - Родители оплачивают за детей <br> - Нет сайта, есть группа ВКонтакте, Telegram, WhatsApp <br> - Используют налог на профессиональный доход (самозанятые), планируют переход на патент <br> - Нет облачной кассы, платежи приходят на карту/расчетный счет, учет ведется вручную в Excel <br> - Планируют расширение команды","Артём (Speaker A) — один из руководителей, работает с супругой, планируют вводить менеджера в штат. | Руководитель/администратор (работает с клиентами и оплатами, ведет учет)",,J089
Big,S5,J3,Запустить и развить автоматизированный фитнес-клуб с высокой маржинальностью при минимальном личном вовлечении в операционку,"Когда я с 15-летним опытом в фитнесе решаю стать фаундером и выбираю формат с высокой маржинальностью и низкой точкой входа, понимая что полная автоматизация — иллюзия и эмоциональное вовлечение всё равно потребуется","Хочу зал, который сам генерирует доход с минимальным моим участием в течение дня, при этом сохраняет высокое качество сервиса",Чтобы достичь рентабельности и масштабироваться на новые объекты с инвестором,"Критично — рентабельность падает на рынке, малому бизнесу тяжело, нужна автоматизация для маржинальности",,,Полноценная CRM + мобильное приложение для автономной работы клуба (зашита в стоимость ремонта 10.5 млн),Нет предыдущего решения — это первый клуб Кочкина как фаундера,Готовое решение для зала без персонала из коробки,"Стоимость интеграций с другим оборудованием, возможные проблемы при масштабировании","«Мы здесь, а не потому, что мы хотим, чтобы оно само работало. Мы готовы вкладываться и эмоциями, и силами, и времени, чтобы все нюансы учесть.» (1:49)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)","Тип бизнеса: Зал без персонала, 133 м², Екатеринбург. Густонаселённый ЖК (5000+ квартир в 5 мин пешком). Открытие — конец марта 2026 (техническое), полное открытие в апреле. Цель к октябрю — 300 клиентов (270 подписок + разовые). | Особенности бизнеса: Автоматизированный фитнес-клуб формата 'без персонала'. Партнёрство с Хастингс по тренажёрам. Помещение на солнечной стороне с панорамными окнами. Стоимость под ключ — 10.5 млн руб (включая ремонт, оборудование, ПО Fitbase). КПО ограничен 15 одновременных клиентов (возможно расширение до 17). Партнёрство с инвестором, готов финансировать следующий объект при достижении показателей.",Алексей Кочкин — фаундер клуба. 15+ лет в фитнесе (тренер → управленец → фаундер). Параллельно работает управленцем в премиум-фитнес-клубе.,,J090
Middle,S5,J3,Привлечь 300 целевых клиентов к октябрю через локальный геомаркетинг,Когда я только открылся (52 подписки + 200 установок приложения за 2 недели) и нужно к октябрю выйти на 270 подписок + 30 разовых = 300 клиентов,"Хочу получать стабильный поток лидов из локального трафика — ЖК-чаты, штендеры, виндеры, неоновая вывеска через окна, кросс-маркетинг с соседним бизнесом",Чтобы достичь финмодели в октябре и доказать инвестору жизнеспособность модели,Очень важно — без 300 клиентов не выйдем на финрез,,,CRM ведёт учёт всех каналов привлечения,Маркетинга по сути не вели (одно сообщение в чате ЖК),"Возможность отслеживать источники, привязка к мобильному приложению",,«Маркетинг не нужен. Нужно удачное место. И самый главный маркетинг — это вот чат из ЖК.» (18:50) | «У меня 5000+ квартир в пятиминутной ходьбе.» (4:00),"Алексей Кочкин — зал без персонала (Екатеринбург, открытие)","Тип бизнеса: Зал без персонала, 133 м², Екатеринбург. Густонаселённый ЖК (5000+ квартир в 5 мин пешком). Открытие — конец марта 2026 (техническое), полное открытие в апреле. Цель к октябрю — 300 клиентов (270 подписок + разовые). | Особенности бизнеса: Автоматизированный фитнес-клуб формата 'без персонала'. Партнёрство с Хастингс по тренажёрам. Помещение на солнечной стороне с панорамными окнами. Стоимость под ключ — 10.5 млн руб (включая ремонт, оборудование, ПО Fitbase). КПО ограничен 15 одновременных клиентов (возможно расширение до 17). Партнёрство с инвестором, готов финансировать следующий объект при достижении показателей.",Алексей Кочкин — фаундер клуба. 15+ лет в фитнесе (тренер → управленец → фаундер). Параллельно работает управленцем в премиум-фитнес-клубе.,,J091
Middle,S5,J3,Выбрать правильную локацию для зала без персонала,"Когда искал помещение под зал, ориентировался на густонаселённые ЖК с большой плотностью населения и небольшим количеством конкурентов рядом","Хочу район где 3000+ квартир в 5-минутной пешей доступности, желательно без сильных конкурентов рядом, с видовыми окнами на первом этаже",Чтобы окна сами рекламировали клуб + был органический трафик в первые недели,Очень важно — точка определяет 80% успеха,,,—,—,"Уникальное помещение как самореклама (видовые окна, первый этаж, неоновая вывеска через окна)",,"«Окна, они уже сами рекламируют. К сожалению, у нас не самое проходное место — это уже крайний дом.» (20:24)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)","Тип бизнеса: Зал без персонала, 133 м², Екатеринбург. Густонаселённый ЖК (5000+ квартир в 5 мин пешком). Открытие — конец марта 2026 (техническое), полное открытие в апреле. Цель к октябрю — 300 клиентов (270 подписок + разовые). | Особенности бизнеса: Автоматизированный фитнес-клуб формата 'без персонала'. Партнёрство с Хастингс по тренажёрам. Помещение на солнечной стороне с панорамными окнами. Стоимость под ключ — 10.5 млн руб (включая ремонт, оборудование, ПО Fitbase). КПО ограничен 15 одновременных клиентов (возможно расширение до 17). Партнёрство с инвестором, готов финансировать следующий объект при достижении показателей.",Алексей Кочкин — фаундер клуба. 15+ лет в фитнесе (тренер → управленец → фаундер). Параллельно работает управленцем в премиум-фитнес-клубе.,,J092
Middle,S5,J3,Создать комфортное физическое пространство с превосходным качеством отделки и оборудования,"Когда строил клуб, понимал что в Екатеринбурге насыщенный рынок и клиенты выбирают качество — некомфортно = посмотрят в сторону конкурентов","Хочу избыточную вентиляцию (1600 куб/час, 3 кондиционера вместо 2), дорогую сантехнику с теплыми полами, тренажёры высокого уровня",Чтобы сохранить клиентов в сегменте лоу-кост/средний при качестве премиум-клуба,"Очень важно — конкуренты в 10-25 мин на машине, нужно отстраиваться",,,Хастинг (партнёр) даёт 3D-визуализацию для расстановки тренажёров; Fitbase для управления,Сложно правильно рассчитать всё с нуля — пришлось менять подрядчика,"Хастингс упаковал оборудование под формат, GPT помогал в строительных расчётах",,"«Я в фитнесе давно, клиенты выбирают качество. Если сделаем некомфортное пространство, посмотрят в сторону конкурентов.» (8:49) | «Получилось 10.5 под ключ.» (16:00)","Алексей Кочкин — зал без персонала (Екатеринбург, открытие)","Тип бизнеса: Зал без персонала, 133 м², Екатеринбург. Густонаселённый ЖК (5000+ квартир в 5 мин пешком). Открытие — конец марта 2026 (техническое), полное открытие в апреле. Цель к октябрю — 300 клиентов (270 подписок + разовые). | Особенности бизнеса: Автоматизированный фитнес-клуб формата 'без персонала'. Партнёрство с Хастингс по тренажёрам. Помещение на солнечной стороне с панорамными окнами. Стоимость под ключ — 10.5 млн руб (включая ремонт, оборудование, ПО Fitbase). КПО ограничен 15 одновременных клиентов (возможно расширение до 17). Партнёрство с инвестором, готов финансировать следующий объект при достижении показателей.",Алексей Кочкин — фаундер клуба. 15+ лет в фитнесе (тренер → управленец → фаундер). Параллельно работает управленцем в премиум-фитнес-клубе.,,J093
